country,date,demand,type
LT,2016-11-01,66.0,power
LU,2016-11-01,0.0,power
LV,2016-11-01,111.0,power
MT,2016-11-01,0.0,power
NL,2016-11-01,0.0,power
PL,2016-11-01,160.0,power
PT,2016-11-01,277.0,power
RO,2016-11-01,0.0,power
SE,2016-11-01,0.0,power
SI,2016-11-01,14.0,power
SK,2016-11-01,0.0,power
AT,2016-12-01,318.0,power
BE,2016-12-01,515.0,power
BG,2016-12-01,145.0,power
CY,2016-12-01,0.0,power
CZ,2016-12-01,82.0,power
DE,2016-12-01,0.0,power
DK,2016-12-01,47.0,power
EE,2016-12-01,27.0,power
ES,2016-12-01,644.0,power
EU27_2020,2016-12-01,7104.0,power
FI,2016-12-01,66.0,power
FR,2016-12-01,644.0,power
GR,2016-12-01,342.0,power
HR,2016-12-01,61.0,power
HU,2016-12-01,195.0,power
IE,2016-12-01,0.0,power
IT,2016-12-01,2562.0,power
LT,2016-12-01,55.0,power
LU,2016-12-01,0.0,power
LV,2016-12-01,90.0,power
MT,2016-12-01,0.0,power
NL,2016-12-01,837.0,power
PL,2016-12-01,176.0,power
PT,2016-12-01,282.0,power
RO,2016-12-01,0.0,power
SE,2016-12-01,0.0,power
SI,2016-12-01,16.0,power
SK,2016-12-01,0.0,power
AT,2017-01-01,459.0,power
BE,2017-01-01,502.1,power
BG,2017-01-01,188.0,power
CY,2017-01-01,0.0,power
CZ,2017-01-01,74.0,power
DE,2017-01-01,2010.0,power
DK,2017-01-01,67.0,power
EE,2017-01-01,32.0,power
ES,2017-01-01,580.0,power
EU27_2020,2017-01-01,9754.1,power
FI,2017-01-01,84.0,power
FR,2017-01-01,629.0,power
GR,2017-01-01,377.0,power
HR,2017-01-01,87.0,power
HU,2017-01-01,410.0,power
IE,2017-01-01,0.0,power
IT,2017-01-01,2562.0,power
LT,2017-01-01,52.0,power
LU,2017-01-01,0.0,power
LV,2017-01-01,107.0,power
MT,2017-01-01,0.0,power
NL,2017-01-01,927.0,power
PL,2017-01-01,280.0,power
PT,2017-01-01,306.0,power
RO,2017-01-01,0.0,power
SE,2017-01-01,0.0,power
SI,2017-01-01,21.0,power
SK,2017-01-01,0.0,power
AT,2017-02-01,320.0,power
BE,2017-02-01,379.7,power
BG,2017-02-01,127.0,power
CY,2017-02-01,0.0,power
CZ,2017-02-01,52.0,power
DE,2017-02-01,1371.0,power
DK,2017-02-01,57.0,power
EE,2017-02-01,30.0,power
ES,2017-02-01,320.0,power
EU27_2020,2017-02-01,7197.7,power
FI,2017-02-01,73.0,power
FR,2017-02-01,499.0,power
GR,2017-02-01,253.0,power
HR,2017-02-01,67.0,power
HU,2017-02-01,258.0,power
IE,2017-02-01,0.0,power
IT,2017-02-01,2164.0,power
LT,2017-02-01,43.0,power
LU,2017-02-01,0.0,power
LV,2017-02-01,93.0,power
MT,2017-02-01,3.0,power
NL,2017-02-01,658.0,power
PL,2017-02-01,166.0,power
PT,2017-02-01,247.0,power
RO,2017-02-01,0.0,power
SE,2017-02-01,0.0,power
SI,2017-02-01,17.0,power
SK,2017-02-01,0.0,power
AT,2017-03-01,206.0,power
BE,2017-03-01,352.4,power
BG,2017-03-01,98.0,power
CY,2017-03-01,0.0,power
CZ,2017-03-01,34.0,power
DE,2017-03-01,1213.0,power
DK,2017-03-01,37.0,power
EE,2017-03-01,24.0,power
ES,2017-03-01,304.0,power
EU27_2020,2017-03-01,6217.4,power
FI,2017-03-01,58.0,power
FR,2017-03-01,437.0,power
GR,2017-03-01,174.0,power
HR,2017-03-01,39.0,power
HU,2017-03-01,181.0,power
IE,2017-03-01,0.0,power
IT,2017-03-01,1864.0,power
LT,2017-03-01,14.0,power
LU,2017-03-01,0.0,power
LV,2017-03-01,60.0,power
MT,2017-03-01,8.0,power
NL,2017-03-01,658.0,power
PL,2017-03-01,174.0,power
PT,2017-03-01,268.0,power
RO,2017-03-01,0.0,power
SE,2017-03-01,0.0,power
SI,2017-03-01,14.0,power
SK,2017-03-01,0.0,power
AT,2017-04-01,117.0,power
BE,2017-04-01,374.9,power
BG,2017-04-01,64.0,power
CY,2017-04-01,0.0,power
CZ,2017-04-01,22.0,power
DE,2017-04-01,982.0,power
DK,2017-04-01,21.0,power
EE,2017-04-01,22.0,power
ES,2017-04-01,264.0,power
EU27_2020,2017-04-01,5561.9,power
FI,2017-04-01,36.0,power
FR,2017-04-01,347.0,power
GR,2017-04-01,177.0,power
HR,2017-04-01,32.0,power
HU,2017-04-01,172.0,power
IE,2017-04-01,0.0,power
IT,2017-04-01,1731.0,power
LT,2017-04-01,25.0,power
LU,2017-04-01,0.0,power
LV,2017-04-01,55.0,power
MT,2017-04-01,19.0,power
NL,2017-04-01,669.0,power
PL,2017-04-01,171.0,power
PT,2017-04-01,250.0,power
RO,2017-04-01,0.0,power
SE,2017-04-01,0.0,power
SI,2017-04-01,11.0,power
SK,2017-04-01,0.0,power
AT,2017-05-01,33.0,power
BE,2017-05-01,304.9,power
BG,2017-05-01,42.0,power
CY,2017-05-01,0.0,power
CZ,2017-05-01,15.0,power
DE,2017-05-01,909.0,power
DK,2017-05-01,10.0,power
EE,2017-05-01,12.0,power
ES,2017-05-01,338.0,power
EU27_2020,2017-05-01,5089.9,power
FI,2017-05-01,14.0,power
FR,2017-05-01,192.0,power
GR,2017-05-01,220.0,power
HR,2017-05-01,29.0,power
HU,2017-05-01,125.0,power
IE,2017-05-01,0.0,power
IT,2017-05-01,1745.0,power
LT,2017-05-01,18.0,power
LU,2017-05-01,0.0,power
LV,2017-05-01,31.0,power
MT,2017-05-01,21.0,power
NL,2017-05-01,618.0,power
PL,2017-05-01,101.0,power
PT,2017-05-01,303.0,power
RO,2017-05-01,0.0,power
SE,2017-05-01,0.0,power
SI,2017-05-01,9.0,power
SK,2017-05-01,0.0,power
AT,2017-06-01,85.0,power
BE,2017-06-01,268.8,power
BG,2017-06-01,36.0,power
CY,2017-06-01,0.0,power
CZ,2017-06-01,44.0,power
DE,2017-06-01,723.0,power
DK,2017-06-01,6.0,power
EE,2017-06-01,7.0,power
ES,2017-06-01,618.0,power
EU27_2020,2017-06-01,5563.8,power
FI,2017-06-01,5.0,power
FR,2017-06-01,172.0,power
GR,2017-06-01,302.0,power
HR,2017-06-01,34.0,power
HU,2017-06-01,144.0,power
IE,2017-06-01,0.0,power
IT,2017-06-01,2048.0,power
LT,2017-06-01,11.0,power
LU,2017-06-01,0.0,power
LV,2017-06-01,32.0,power
MT,2017-06-01,30.0,power
NL,2017-06-01,559.0,power
PL,2017-06-01,92.0,power
PT,2017-06-01,338.0,power
RO,2017-06-01,0.0,power
SE,2017-06-01,0.0,power
SI,2017-06-01,9.0,power
SK,2017-06-01,0.0,power
AT,2017-07-01,73.0,power
BE,2017-07-01,277.9,power
BG,2017-07-01,36.0,power
CY,2017-07-01,0.0,power
CZ,2017-07-01,73.0,power
DE,2017-07-01,803.0,power
DK,2017-07-01,8.0,power
EE,2017-07-01,8.0,power
ES,2017-07-01,732.0,power
EU27_2020,2017-07-01,6255.9,power
FI,2017-07-01,6.0,power
FR,2017-07-01,285.0,power
GR,2017-07-01,320.0,power
HR,2017-07-01,61.0,power
HU,2017-07-01,147.0,power
IE,2017-07-01,0.0,power
IT,2017-07-01,2234.0,power
LT,2017-07-01,3.0,power
LU,2017-07-01,0.0,power
LV,2017-07-01,30.0,power
MT,2017-07-01,35.0,power
NL,2017-07-01,617.0,power
