country,date,demand,type
AT,2019-08-24,30559000.0,power
AT,2019-08-25,19465900.0,power
AT,2019-08-26,48402700.0,power
AT,2019-08-27,49109800.0,power
AT,2019-08-28,46787000.0,power
AT,2019-08-29,40013200.0,power
AT,2019-08-30,36026500.0,power
AT,2019-08-31,22946800.0,power
AT,2019-09-01,25735900.0,power
AT,2019-09-02,33688700.0,power
AT,2019-09-03,22031200.0,power
AT,2019-09-04,38362300.0,power
AT,2019-09-05,37634200.0,power
AT,2019-09-06,27938900.0,power
AT,2019-09-07,34393100.0,power
AT,2019-09-08,20564500.0,power
AT,2019-09-09,25743900.0,power
AT,2019-09-10,29808300.0,power
AT,2019-09-11,23662200.0,power
AT,2019-09-12,25637400.0,power
AT,2019-09-13,31191300.0,power
AT,2019-09-14,18991000.0,power
AT,2019-09-15,15315400.0,power
AT,2019-09-16,33038300.000000004,power
AT,2019-09-17,39074200.0,power
AT,2019-09-18,27373300.0,power
AT,2019-09-19,40534600.0,power
AT,2019-09-20,44932700.0,power
AT,2019-09-21,30351200.0,power
AT,2019-09-22,14443100.0,power
AT,2019-09-23,38398500.0,power
AT,2019-09-24,49921100.0,power
AT,2019-09-25,42817100.0,power
AT,2019-09-26,40279700.0,power
AT,2019-09-27,31817700.0,power
AT,2019-09-28,23717200.0,power
AT,2019-09-29,29294400.0,power
AT,2019-09-30,30861399.999999996,power
AT,2019-10-01,36725900.0,power
AT,2019-10-02,45604900.0,power
AT,2019-10-03,41866000.0,power
AT,2019-10-04,41862400.0,power
AT,2019-10-05,27387700.0,power
AT,2019-10-06,22519400.0,power
AT,2019-10-07,36166400.0,power
AT,2019-10-08,30762800.0,power
AT,2019-10-09,42529100.0,power
AT,2019-10-10,34985800.0,power
AT,2019-10-11,20261200.0,power
AT,2019-10-12,23616200.0,power
AT,2019-10-13,23832900.0,power
AT,2019-10-14,35806400.0,power
AT,2019-10-15,39563300.0,power
AT,2019-10-16,45588800.0,power
AT,2019-10-17,40778400.0,power
AT,2019-10-18,49065700.0,power
AT,2019-10-19,36846800.0,power
AT,2019-10-20,38801100.0,power
AT,2019-10-21,45172400.0,power
AT,2019-10-22,50216300.0,power
AT,2019-10-23,46398000.0,power
AT,2019-10-24,43077800.0,power
AT,2019-10-25,53682100.0,power
AT,2019-10-26,29616300.0,power
AT,2019-10-27,43296700.0,power
AT,2019-10-28,46852299.99999999,power
AT,2019-10-29,57528900.0,power
AT,2019-10-30,54288600.0,power
AT,2019-10-31,50210600.0,power
AT,2019-11-01,34190400.0,power
AT,2019-11-02,33500300.000000004,power
AT,2019-11-03,28670000.0,power
AT,2019-11-04,49559700.0,power
AT,2019-11-05,47829299.99999999,power
AT,2019-11-06,49446900.0,power
AT,2019-11-07,50785300.0,power
AT,2019-11-08,52303700.0,power
AT,2019-11-09,33908200.0,power
AT,2019-11-10,32578500.0,power
AT,2019-11-11,38546500.0,power
AT,2019-11-12,43294800.0,power
AT,2019-11-13,58587300.0,power
AT,2019-11-14,59804300.0,power
AT,2019-11-15,44259000.0,power
AT,2019-11-16,32704400.0,power
AT,2019-11-17,29511600.000000004,power
AT,2019-11-18,45984000.0,power
AT,2019-11-19,53644100.0,power
AT,2019-11-20,54642300.0,power
AT,2019-11-21,54186700.0,power
AT,2019-11-22,41149600.0,power
AT,2019-11-23,27680200.0,power
AT,2019-11-24,29204800.0,power
AT,2019-11-25,49895600.0,power
AT,2019-11-26,51220400.0,power
AT,2019-11-27,32280900.0,power
AT,2019-11-28,28227000.0,power
AT,2019-11-29,39337600.0,power
AT,2019-11-30,42121200.0,power
AT,2019-12-01,44082500.0,power
AT,2019-12-02,45459100.0,power
AT,2019-12-03,60484700.0,power
AT,2019-12-04,58609900.0,power
AT,2019-12-05,54743100.0,power
AT,2019-12-06,52429900.0,power
AT,2019-12-07,36505800.0,power
AT,2019-12-08,30680200.0,power
AT,2019-12-09,54795300.0,power
AT,2019-12-10,45132200.0,power
AT,2019-12-11,46841900.0,power
AT,2019-12-12,50955700.0,power
AT,2019-12-13,49295100.0,power
AT,2019-12-14,39415500.0,power
AT,2019-12-15,31879500.0,power
AT,2019-12-16,47408000.0,power
AT,2019-12-17,40192700.0,power
AT,2019-12-18,41143700.0,power
AT,2019-12-19,35924000.0,power
AT,2019-12-20,29645900.0,power
AT,2019-12-21,29699200.0,power
AT,2019-12-22,27821300.0,power
AT,2019-12-23,27854100.0,power
AT,2019-12-24,27641700.0,power
AT,2019-12-25,18678800.0,power
AT,2019-12-26,34744900.0,power
