country,type,year,month,demand,source,country_contributions
FR,industry,2024.0,6.0,7.69,"entsog, grtgaz",
FR,industry,2024.0,7.0,7.71,"entsog, grtgaz",
FR,industry,2024.0,8.0,6.76,"entsog, grtgaz",
FR,industry,2024.0,9.0,8.16,"entsog, grtgaz",
FR,industry,2024.0,10.0,9.27,"entsog, grtgaz",
FR,industry,2024.0,11.0,10.45,"entsog, grtgaz",
FR,industry,2024.0,12.0,10.92,"entsog, grtgaz",
FR,industry,2025.0,1.0,11.18,"entsog, grtgaz",
FR,industry,2025.0,2.0,9.56,"entsog, grtgaz",
FR,industry,2025.0,3.0,9.57,"entsog, grtgaz",
FR,industry,2025.0,4.0,7.78,"entsog, grtgaz",
FR,industry,2025.0,5.0,7.46,"entsog, grtgaz",
FR,industry,2025.0,6.0,6.53,"entsog, grtgaz",
FR,industry,2025.0,7.0,6.49,grtgaz,
FR,industry,2025.0,8.0,5.98,grtgaz,
FR,industry,2025.0,9.0,7.64,grtgaz,
FR,industry,2025.0,10.0,8.59,"entsog, grtgaz",
FR,industry,2025.0,11.0,9.58,"entsog, grtgaz",
GR,total,2019.0,1.0,686.33,eurostat,
GR,total,2019.0,2.0,500.35,eurostat,
GR,total,2019.0,3.0,386.13,eurostat,
GR,total,2019.0,4.0,364.9,eurostat,
GR,total,2019.0,5.0,331.54,eurostat,
GR,total,2019.0,6.0,400.28,eurostat,
GR,total,2019.0,7.0,487.21,eurostat,
GR,total,2019.0,8.0,447.78,eurostat,
GR,total,2019.0,9.0,437.68,eurostat,
GR,total,2019.0,10.0,414.43,eurostat,
GR,total,2019.0,11.0,387.14,eurostat,
GR,total,2019.0,12.0,446.77,eurostat,
GR,total,2020.0,1.0,617.93,eurostat,
GR,total,2020.0,2.0,490.55,eurostat,
GR,total,2020.0,3.0,461.83,eurostat,
GR,total,2020.0,4.0,379.79,eurostat,
GR,total,2020.0,5.0,376.22,eurostat,
GR,total,2020.0,6.0,448.23,eurostat,
GR,total,2020.0,7.0,555.75,eurostat,
GR,total,2020.0,8.0,516.31,eurostat,
GR,total,2020.0,9.0,475.93,eurostat,
GR,total,2020.0,10.0,444.0,eurostat,
GR,total,2020.0,11.0,516.06,eurostat,
GR,total,2020.0,12.0,611.27,eurostat,
GR,total,2021.0,1.0,635.19,eurostat,
GR,total,2021.0,2.0,453.51,eurostat,
GR,total,2021.0,3.0,545.93,eurostat,
GR,total,2021.0,4.0,557.0,eurostat,
GR,total,2021.0,5.0,407.79,eurostat,
GR,total,2021.0,6.0,542.39,eurostat,
GR,total,2021.0,7.0,622.11,eurostat,
GR,total,2021.0,8.0,589.41,eurostat,
GR,total,2021.0,9.0,526.37,eurostat,
GR,total,2021.0,10.0,498.67,eurostat,
GR,total,2021.0,11.0,518.16,eurostat,
GR,total,2021.0,12.0,608.77,eurostat,
GR,total,2022.0,1.0,580.06,eurostat,
GR,total,2022.0,2.0,501.42,eurostat,
GR,total,2022.0,3.0,643.88,eurostat,
GR,total,2022.0,4.0,299.38,eurostat,
GR,total,2022.0,5.0,345.5,eurostat,
GR,total,2022.0,6.0,430.12,eurostat,
GR,total,2022.0,7.0,536.84,eurostat,
GR,total,2022.0,8.0,490.79,eurostat,
GR,total,2022.0,9.0,325.86,eurostat,
GR,total,2022.0,10.0,246.25,eurostat,
GR,total,2022.0,11.0,359.56,eurostat,
GR,total,2022.0,12.0,468.53,eurostat,
GR,total,2023.0,1.0,374.09,eurostat,
GR,total,2023.0,2.0,396.68,eurostat,
GR,total,2023.0,3.0,371.16,eurostat,
GR,total,2023.0,4.0,357.13,eurostat,
GR,total,2023.0,5.0,294.64,eurostat,
GR,total,2023.0,6.0,395.14,eurostat,
GR,total,2023.0,7.0,486.73,eurostat,
