date,country,type,year,month,demand,source,country_contributions
2016-08-01,MT,total,2016,8,0.0,eurostat,
2016-08-01,NL,total,2016,8,2287.0,eurostat,
2016-08-01,PL,total,2016,8,1159.0,eurostat,
2016-08-01,PT,total,2016,8,448.0,eurostat,
2016-08-01,RO,total,2016,8,640.0,eurostat,
2016-08-01,SE,total,2016,8,43.0,eurostat,
2016-08-01,SI,total,2016,8,46.0,eurostat,
2016-08-01,SK,total,2016,8,251.0,eurostat,
2016-09-01,AT,total,2016,9,501.0,eurostat,
2016-09-01,BE,total,2016,9,910.0,eurostat,
2016-09-01,BG,total,2016,9,198.0,eurostat,
2016-09-01,CY,total,2016,9,0.0,eurostat,
2016-09-01,CZ,total,2016,9,418.0,eurostat,
2016-09-01,DE,total,2016,9,4365.0,eurostat,
2016-09-01,DK,total,2016,9,148.0,eurostat,
2016-09-01,EE,total,2016,9,20.0,eurostat,
2016-09-01,ES,total,2016,9,2068.0,eurostat,
2016-09-01,EU27_2020,total,2016,9,22365.0,eurostat,
2016-09-01,FI,total,2016,9,130.0,eurostat,
2016-09-01,FR,total,2016,9,2046.0,eurostat,
2016-09-01,GR,total,2016,9,311.0,eurostat,
2016-09-01,HR,total,2016,9,165.0,eurostat,
2016-09-01,HU,total,2016,9,429.0,eurostat,
2016-09-01,IE,total,2016,9,423.0,eurostat,
2016-09-01,IT,total,2016,9,4655.0,eurostat,
2016-09-01,LT,total,2016,9,119.0,eurostat,
2016-09-01,LU,total,2016,9,42.0,eurostat,
2016-09-01,LV,total,2016,9,57.0,eurostat,
2016-09-01,MT,total,2016,9,0.0,eurostat,
2016-09-01,NL,total,2016,9,2398.0,eurostat,
2016-09-01,PL,total,2016,9,1182.0,eurostat,
2016-09-01,PT,total,2016,9,519.0,eurostat,
2016-09-01,RO,total,2016,9,786.0,eurostat,
2016-09-01,SE,total,2016,9,52.0,eurostat,
2016-09-01,SI,total,2016,9,49.0,eurostat,
2016-09-01,SK,total,2016,9,374.0,eurostat,
2016-10-01,AT,total,2016,10,805.0,eurostat,
2016-10-01,BE,total,2016,10,1538.0,eurostat,
2016-10-01,BG,total,2016,10,273.0,eurostat,
2016-10-01,CY,total,2016,10,0.0,eurostat,
2016-10-01,CZ,total,2016,10,791.0,eurostat,
