country,date,demand,type,source
FR,2016-09-01,2046.0,total,eurostat
GR,2016-09-01,311.0,total,eurostat
HR,2016-09-01,165.0,total,eurostat
HU,2016-09-01,429.0,total,eurostat
IE,2016-09-01,423.0,total,eurostat
IT,2016-09-01,4655.0,total,eurostat
LT,2016-09-01,119.0,total,eurostat
LU,2016-09-01,42.0,total,eurostat
LV,2016-09-01,57.0,total,eurostat
MT,2016-09-01,0.0,total,eurostat
NL,2016-09-01,2398.0,total,eurostat
PL,2016-09-01,1182.0,total,eurostat
PT,2016-09-01,519.0,total,eurostat
RO,2016-09-01,786.0,total,eurostat
SE,2016-09-01,52.0,total,eurostat
SI,2016-09-01,49.0,total,eurostat
SK,2016-09-01,374.0,total,eurostat
AT,2016-10-01,805.0,total,eurostat
BE,2016-10-01,1538.0,total,eurostat
BG,2016-10-01,273.0,total,eurostat
CY,2016-10-01,0.0,total,eurostat
CZ,2016-10-01,791.0,total,eurostat
DE,2016-10-01,7189.0,total,eurostat
DK,2016-10-01,267.0,total,eurostat
EE,2016-10-01,46.0,total,eurostat
ES,2016-10-01,2407.0,total,eurostat
EU27_2020,2016-10-01,32328.0,total,eurostat
FI,2016-10-01,160.0,total,eurostat
FR,2016-10-01,3605.0,total,eurostat
GR,2016-10-01,374.0,total,eurostat
HR,2016-10-01,271.0,total,eurostat
HU,2016-10-01,840.0,total,eurostat
IE,2016-10-01,426.0,total,eurostat
IT,2016-10-01,5635.0,total,eurostat
LT,2016-10-01,212.0,total,eurostat
LU,2016-10-01,66.0,total,eurostat
LV,2016-10-01,139.0,total,eurostat
MT,2016-10-01,0.0,total,eurostat
NL,2016-10-01,3549.0,total,eurostat
PL,2016-10-01,1650.0,total,eurostat
PT,2016-10-01,519.0,total,eurostat
RO,2016-10-01,1046.0,total,eurostat
SE,2016-10-01,64.0,total,eurostat
SI,2016-10-01,73.0,total,eurostat
SK,2016-10-01,383.0,total,eurostat
AT,2016-11-01,1008.0,total,eurostat
