country,date,demand,type,source
AT,13/08/2019,159938775.5,total,aggm
AT,14/08/2019,109384512,total,aggm
AT,15/08/2019,148982892.9,total,aggm
AT,16/08/2019,123491664,total,aggm
AT,17/08/2019,123669487.1,total,aggm
AT,18/08/2019,200742872,total,aggm
AT,19/08/2019,185679013,total,aggm
AT,20/08/2019,185079028.2,total,aggm
AT,21/08/2019,201035784.2,total,aggm
AT,22/08/2019,181832354.1,total,aggm
AT,23/08/2019,170138269.5,total,aggm
AT,24/08/2019,146711362.1,total,aggm
AT,25/08/2019,220695472.1,total,aggm
AT,26/08/2019,231815509.2,total,aggm
AT,27/08/2019,237953118.7,total,aggm
AT,28/08/2019,221113418.8,total,aggm
AT,29/08/2019,210025026.5,total,aggm
AT,30/08/2019,158761889.8,total,aggm
AT,31/08/2019,162355948.4,total,aggm
AT,01/09/2019,199116502.7,total,aggm
AT,02/09/2019,175382523.9,total,aggm
AT,03/09/2019,214612718.1,total,aggm
AT,04/09/2019,216162113.5,total,aggm
AT,05/09/2019,201208017.6,total,aggm
AT,06/09/2019,210198232,total,aggm
AT,07/09/2019,177343363,total,aggm
AT,08/09/2019,212675520.5,total,aggm
AT,09/09/2019,223732972.1,total,aggm
AT,10/09/2019,202769436.9,total,aggm
AT,11/09/2019,203439451.5,total,aggm
AT,12/09/2019,210724782.1,total,aggm
AT,13/09/2019,173817261.1,total,aggm
AT,14/09/2019,161263768.6,total,aggm
AT,15/09/2019,210856832.9,total,aggm
AT,16/09/2019,224782696.3,total,aggm
AT,17/09/2019,214030349.7,total,aggm
AT,18/09/2019,258588048.7,total,aggm
AT,19/09/2019,275000689,total,aggm
AT,20/09/2019,226632112.3,total,aggm
AT,21/09/2019,179080327.5,total,aggm
AT,22/09/2019,255383917.6,total,aggm
AT,23/09/2019,268128910.5,total,aggm
AT,24/09/2019,257690697.3,total,aggm
AT,25/09/2019,243703405.5,total,aggm
AT,26/09/2019,216321647.4,total,aggm
AT,27/09/2019,186217482.5,total,aggm
AT,28/09/2019,188113615,total,aggm
AT,29/09/2019,211509375.2,total,aggm
AT,30/09/2019,219586692.7,total,aggm
AT,01/10/2019,250462062.9,total,aggm
AT,02/10/2019,265234327.1,total,aggm
AT,03/10/2019,266468900,total,aggm
AT,04/10/2019,224906794.1,total,aggm
AT,05/10/2019,219943908.9,total,aggm
AT,06/10/2019,284411053.4,total,aggm
AT,07/10/2019,272715507.6,total,aggm
AT,08/10/2019,288886541.9,total,aggm
AT,09/10/2019,267789288.5,total,aggm
AT,10/10/2019,237403862.2,total,aggm
AT,11/10/2019,225651942.8,total,aggm
AT,12/10/2019,221349496.2,total,aggm
AT,13/10/2019,265320427.1,total,aggm
AT,14/10/2019,270727996.2,total,aggm
AT,15/10/2019,285787520.9,total,aggm
AT,16/10/2019,285262973.6,total,aggm
AT,17/10/2019,294195176.8,total,aggm
AT,18/10/2019,247281637.1,total,aggm
AT,19/10/2019,240962451.7,total,aggm
AT,20/10/2019,275736616.7,total,aggm
AT,21/10/2019,283775951.5,total,aggm
AT,22/10/2019,274690556.4,total,aggm
AT,23/10/2019,269251679.8,total,aggm
AT,24/10/2019,282212414.6,total,aggm
AT,25/10/2019,225415505.3,total,aggm
AT,26/10/2019,245721802.4,total,aggm
AT,27/10/2019,292819816.6,total,aggm
AT,28/10/2019,335803599.7,total,aggm
AT,29/10/2019,349979502.7,total,aggm
AT,30/10/2019,360170268.8,total,aggm
AT,31/10/2019,294342116.4,total,aggm
AT,01/11/2019,272596130.7,total,aggm
AT,02/11/2019,240875023.4,total,aggm
AT,03/11/2019,302851467.7,total,aggm
AT,04/11/2019,317742452.8,total,aggm
AT,05/11/2019,331918079.7,total,aggm
AT,06/11/2019,332574342.7,total,aggm
AT,07/11/2019,336085553.9,total,aggm
AT,08/11/2019,285827627.1,total,aggm
AT,09/11/2019,302716719.2,total,aggm
AT,10/11/2019,358591284.8,total,aggm
AT,11/11/2019,365351409.6,total,aggm
AT,12/11/2019,411274125,total,aggm
AT,13/11/2019,408484889.2,total,aggm
AT,14/11/2019,346478642.1,total,aggm
AT,15/11/2019,284472662,total,aggm
AT,16/11/2019,268293078.9,total,aggm
AT,17/11/2019,353037955,total,aggm
AT,18/11/2019,378132194.3,total,aggm
AT,19/11/2019,388969204.5,total,aggm
AT,20/11/2019,374090428.9,total,aggm
AT,21/11/2019,329517694.8,total,aggm
AT,22/11/2019,281857187.8,total,aggm
AT,23/11/2019,282087894.9,total,aggm
AT,24/11/2019,369104696.7,total,aggm
AT,25/11/2019,366722468.5,total,aggm
AT,26/11/2019,328648230.5,total,aggm
AT,27/11/2019,310519689.2,total,aggm
AT,28/11/2019,323982740,total,aggm
AT,29/11/2019,333102656.7,total,aggm
AT,30/11/2019,354306650.7,total,aggm
AT,01/12/2019,394062446.3,total,aggm
AT,02/12/2019,439143781.3,total,aggm
AT,03/12/2019,446392480.9,total,aggm
AT,04/12/2019,454224517.7,total,aggm
AT,05/12/2019,446051496.8,total,aggm
AT,06/12/2019,359948798.7,total,aggm
AT,07/12/2019,324008497.8,total,aggm
AT,08/12/2019,414832225.4,total,aggm
AT,09/12/2019,403081328.8,total,aggm
AT,10/12/2019,442524812.9,total,aggm
AT,11/12/2019,457813247.6,total,aggm
AT,12/12/2019,439293158.3,total,aggm
AT,13/12/2019,365687286.7,total,aggm
AT,14/12/2019,344757541.2,total,aggm
AT,15/12/2019,396166615,total,aggm
AT,16/12/2019,359905864.6,total,aggm
AT,17/12/2019,347694962.7,total,aggm
AT,18/12/2019,325008692.6,total,aggm
AT,19/12/2019,278965763.1,total,aggm
AT,20/12/2019,274367954.2,total,aggm
AT,21/12/2019,289105243.4,total,aggm
AT,22/12/2019,296911010.6,total,aggm
AT,23/12/2019,282698040.1,total,aggm
AT,24/12/2019,265223655,total,aggm
AT,25/12/2019,310321855.6,total,aggm
AT,26/12/2019,342705689.8,total,aggm
AT,27/12/2019,353717252.8,total,aggm
AT,28/12/2019,366340061.9,total,aggm
AT,29/12/2019,394194783.3,total,aggm
